Class Enrollment Summary by Term,,,,,,,,,,,,,
Time run: 10/6/2016 7:55:02 AM,,,,,,,,,,,,,
,,,,,,,,,,,,,
Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
107790,AFRAMER 90R.Y,Kikongo,001,African & African Amer Studies,"Mugane,John M",0,1,0,0,0,0,0,1
109290,AFRAMER 90R.Z,Lingala,001,African & African Amer Studies,"Mugane,John M",1,0,0,0,0,0,0,1
110605,AFRAMER 91R,Supervised Reading and Researc,001,African & African Amer Studies,"Comaroff,Jean",3,0,0,0,0,0,0,3
118023,AFRAMER 98,Junior Tutorial - African Am,001,African & African Amer Studies,"Comaroff,Jean",2,0,0,0,0,0,0,2
119818,AFRAMER 98A,Junior Tutorial - African Stdi,001,African & African Amer Studies,"Comaroff,Jean",1,0,0,0,0,0,0,1
124132,AFRAMER 99A,Senior Thesis Workshop,001,African & African Amer Studies,"Comaroff,Jean",1,0,0,0,0,0,0,1
123204,AKKAD 143,Akkadian Literary Texts,001,Near Eastern Languages & Civ,"Gabriel,Gosta Ingvar",0,2,0,0,0,0,0,2
107741,AKKAD 144,Akkadian Divination Texts,001,Near Eastern Languages & Civ,"Steinkeller,Piotr",0,3,0,0,0,0,0,3
203409,AKKAD 158,Assyrian Dialect,001,Near Eastern Languages & Civ,"Barjamovic,Gojko",0,2,0,0,0,0,0,2
114320,AKKAD AA,Introductory Akkadian,001,Near Eastern Languages & Civ,"Barjamovic,Gojko",1,3,0,0,0,0,0,4
113328,AMSTDIES 200,Major Wrks in American Studies,001,American Studies,"Chaplin,Joyce E.",0,11,0,0,0,0,0,11
203327,AMSTDIES 271,"Hyphen-Nation: Race, Ethnicity",001,American Studies,"Rivera Rivera,Mayra",2,3,0,1,0,0,0,6
110946,AMSTDIES 398,Reading and Research,008,American Studies,"Carpio,Glenda",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,009,American Studies,"Chaplin,Joyce E.",0,0,0,0,0,0,0,0
110946,AMSTDIES 398,Reading and Research,014,American Studies,"Jewett,Andrew",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,027,American Studies,"Rivera Rivera,Mayra",0,3,0,0,0,0,0,3
110946,AMSTDIES 398,Reading and Research,028,American Studies,"Roberts,Jennifer L.",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,032,American Studies,"Stauffer,John",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,034,American Studies,"Lambert-Beatty,Carrie",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,035,American Studies,"Kim,Ju Yon",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,036,American Studies,"Garcia Pena,Lorgia",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,037,American Studies,"Gonzales,Roberto G.",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,001,American Studies,"Beckert,Sven",0,2,0,0,0,0,0,2
124363,AMSTDIES 399,Doctoral Dissertatn Direction,002,American Studies,"Bernstein,Robin",0,2,0,0,0,0,0,2
124363,AMSTDIES 399,Doctoral Dissertatn Direction,004,American Studies,"Chaplin,Joyce E.",0,4,0,0,0,0,0,4
124363,AMSTDIES 399,Doctoral Dissertatn Direction,006,American Studies,"Cott,Nancy F.",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,009,American Studies,"Johnson,Walter",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,012,American Studies,"Roberts,Jennifer L.",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,014,American Studies,"Stauffer,John",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,015,American Studies,"Ulrich,Laurel",0,2,0,0,0,0,0,2
110014,ANE 103,Ancient Lives,001,Near Eastern Languages & Civ,"Barjamovic,Gojko",73,1,0,0,0,0,0,74
118849,ANE 120A,Hebrew Bible/Old Testament 1,001,Near Eastern Languages & Civ,"Teeter,Andrew",1,0,1,0,0,0,0,2
203480,ANE 145,Poetry in the Hebrew Bible/ANE,001,Near Eastern Languages & Civ,"Kline,Jonathan Greenlee",1,0,0,0,0,0,0,1
114445,ANE 210,Textual Criticsm Hebrew Bible,001,Near Eastern Languages & Civ,"Saley,Richard James",0,4,0,0,0,0,0,4
110807,ANE 330,Reading/Rsch: Biblical Study,001,Near Eastern Languages & Civ,"Levenson,Jon D.",0,1,0,0,0,0,0,1
110807,ANE 330,Reading/Rsch: Biblical Study,003,Near Eastern Languages & Civ,"Teeter,Andrew",0,1,0,0,0,0,0,1
112378,ANTHRO 1010,Arch. Methods & Reasoning,001,Anthropology,"Flad,Rowan K.",59,0,0,0,0,0,0,59
121141,ANTHRO 1130,Archaeology of Harvard Yard,001,Anthropology,"Capone,Patricia",24,0,0,0,0,0,0,24
117138,ANTHRO 1175,The Archaeology of Ethnicity,001,Anthropology,"Urton,Gary",2,5,0,0,0,0,0,7
161285,ANTHRO 1180,Amazonian Archaeology and the,001,Anthropology,"Neves,Eduardo Goes",8,1,0,1,0,0,0,10
109568,ANTHRO 1182,Arch of Ancient Mexico,001,Anthropology,"Fash,William",9,2,0,0,0,0,0,11
127050,ANTHRO 1250,The Pyramids of Giza,001,Anthropology,"Manuelian,Peter Der",15,3,0,0,0,0,0,18
203629,ANTHRO 1496,Anthropology and Art,001,Anthropology,"Yezbick,Julia Helene",3,1,0,0,1,0,0,5
123339,ANTHRO 1600,Ground the Global Anth Approac,001,Anthropology,"Jusionyte,Ieva",15,0,0,0,0,0,1,16
119379,ANTHRO 1610,Ethnographic Research Methods,001,Anthropology,"Ralph,Laurence A",23,0,0,0,0,0,0,23
203842,ANTHRO 1661,(Mis)Understanding Islam Today,001,Anthropology,"Malik,Bilal",9,0,0,0,0,0,0,9
109571,ANTHRO 1698,Anthro of Death and Immortalit,001,Anthropology,"Bernstein,Anya",5,7,0,3,0,0,0,15
204020,ANTHRO 1715,Revolutionary Violence: An Ant,001,Anthropology,"Farmer,Paul",13,0,0,7,0,0,0,20
203630,ANTHRO 1740,Deindustrialism in American Ci,001,Anthropology,"Yezbick,Julia Helene",13,2,0,1,0,0,0,16
203536,ANTHRO 1750,Policing and Militarization To,001,Anthropology,"Ralph,Laurence A",11,2,0,0,0,0,0,13
203582,ANTHRO 1759,Transnational Advocacy,001,Anthropology,"Scott,Stephen Kingsley",3,3,0,0,0,0,0,6
203583,ANTHRO 1825,Medical Expertise,001,Anthropology,"Scott,Stephen Kingsley",5,1,0,0,0,0,0,6
122149,ANTHRO 1836BR,Sensory Ethnography II,001,Anthropology,"Bornstein,Jennifer",2,2,0,1,0,0,0,5
109445,ANTHRO 1923,Disasters and Their Aftermath,001,Anthropology,"Bestor,Theodore C",3,1,0,1,0,0,0,5
156380,ANTHRO 1988,"Kinship,Citizenship,Belonging",001,Anthropology,"Meiu,George Paul",15,8,0,0,1,0,0,24
113280,ANTHRO 2000,Osteoarchaeology Lab,001,Anthropology,"Meadow,Richard H.",1,3,0,0,0,0,0,4
120535,ANTHRO 2010AR,Materials in Ancient Societies,001,Anthropology,"Meadow,Richard H.",0,2,0,0,0,0,0,2
144159,ANTHRO 2110R,Issues in Mesoamerican,001,Anthropology,"Fash,William",0,1,0,0,0,0,0,1
125614,ANTHRO 2250A,Proseminar in Archaeology,001,Anthropology,"Tryon,Christian Alexander",0,6,0,0,0,0,0,6
116522,ANTHRO 2626,Research Design/Proposal Writi,001,Anthropology,"Comaroff,John",0,8,0,0,0,0,0,8
110977,ANTHRO 2650A,Hist and Theory of Social Anth,001,Anthropology,"Steedly,Mary M.",0,11,0,0,0,0,0,11
126266,ANTHRO 2702,Political Economy,001,Anthropology,"Subramanian,Ajantha",0,20,0,4,0,0,0,24
119983,ANTHRO 2704,Ling Pragmatics & Cult Analysi,001,Anthropology,"Caton,Steven C.",0,6,0,1,0,0,0,7
108976,ANTHRO 2722,Sonic Ethnography,001,Anthropology,"Karel,Ernst",2,2,0,2,0,0,0,6
203042,ANTHRO 2861,Colonial Departures (Graduate,001,Anthropology,,0,0,0,0,0,0,0,0
113022,ANTHRO 3000,Reading Course,004,Anthropology,"Caton,Steven C.",0,4,0,0,0,0,0,4
113022,ANTHRO 3000,Reading Course,012,Anthropology,"Good,Byron",0,1,0,0,0,0,0,1
113022,ANTHRO 3000,Reading Course,019,Anthropology,"Meiu,George Paul",0,1,0,0,0,0,0,1
116603,ANTHRO 3001,Reading for General Examinatio,004,Anthropology,"Caton,Steven C.",0,1,0,0,0,0,0,1
116603,ANTHRO 3001,Reading for General Examinatio,005,Anthropology,"Comaroff,Jean",0,2,0,0,0,0,0,2
116603,ANTHRO 3001,Reading for General Examinatio,014,Anthropology,"Liebmann,Matthew",0,1,0,0,0,0,0,1
116603,ANTHRO 3001,Reading for General Examinatio,016,Anthropology,"Meadow,Richard H.",0,1,0,0,0,0,0,1
116603,ANTHRO 3001,Reading for General Examinatio,021,Anthropology,"Subramanian,Ajantha",0,1,0,0,0,0,0,1
203303,ANTHRO 3155,"Law, Theory, and Fieldwork",001,Anthropology,"Moore,Sally Falk",0,3,0,0,0,0,0,3
110152,ANTHRO 3200,Dissertation Writing Workshop,001,Anthropology,"Bestor,Theodore C",0,1,0,0,0,0,0,1
119079,ANTHRO 3400,Reading and Research,019,Anthropology,"Subramanian,Ajantha",0,1,0,0,0,0,0,1
111058,ANTHRO 3500,Direction of Doctoral,023,Anthropology,"Urton,Gary",0,1,0,0,0,0,0,1
123453,ANTHRO 91ZR,Supervised Reading & Research,001,Anthropology,"Rossoukh,Ramyar Dagoberto",3,0,0,0,0,0,0,3
112093,ANTHRO 98XA,Junior Tutorial in Archaeology,001,Anthropology,"Flad,Rowan K.",6,0,0,0,0,0,0,6
113972,ANTHRO 98ZA,Junior Tutorial in Social Anth,001,Anthropology,"Rossoukh,Ramyar Dagoberto",15,0,0,0,0,0,0,15
123458,ANTHRO 99ZA,"Thesis Tutor,Soc Anthro - Sr Y",001,Anthropology,"Rossoukh,Ramyar Dagoberto",10,0,0,0,0,0,0,10
109898,APCOMP 209A,Data Science 1,001,Applied Computation,"Protopapas,Pavlos",2,34,2,17,0,0,0,55
128101,APCOMP 274,Computational Physics,001,Applied Computation,"Succi,Sauro",1,9,0,2,0,0,0,12
109339,APCOMP 298R,Interdisciplinary Seminar in,001,Applied Computation,"Weinstock,Daniel S",0,23,0,0,0,0,0,23
109613,APCOMP 299R,Special Topics Applied Comp,001,Applied Computation,"Protopapas,Pavlos",0,6,0,0,0,0,0,6
156535,APCOMP 302,Special Topics in CSE,001,Applied Computation,"Weinstock,Daniel S",0,12,0,0,0,0,0,12
132127,APMTH 101,Stat Inference for Sci and Eng,001,Applied Mathematics,"Howe,Robert D.",38,2,0,0,0,0,0,40
122094,APMTH 104,Series Expansions and Comp Ana,001,Applied Mathematics,"Meroz,Yasmine",21,0,0,0,0,0,0,21
143432,APMTH 105,Ordinary & Partial Diff Equati,001,Applied Mathematics,"Levine,Margo S",65,1,0,0,0,0,0,66
135449,APMTH 106,Applied Algebra,001,Applied Mathematics,"Sudan,Madhu",9,0,0,0,0,0,0,9
118021,APMTH 115,Mathematical Modeling,001,Applied Mathematics,"Kuang,Zhiming",29,1,0,0,0,0,0,30
123662,APMTH 121,Optimization: Models and Metho,001,Applied Mathematics,"Parkes,David",54,0,0,0,4,0,0,58
110063,APMTH 140R,Computational Geometry,001,Applied Mathematics,"Chen,Elizabeth R.",10,0,0,0,0,0,0,10
110063,APMTH 140R,Computational Geometry,002,Applied Mathematics,"Chen,Elizabeth R.",7,0,0,0,0,0,0,7
110063,APMTH 140R,Computational Geometry,003,Applied Mathematics,"Chen,Elizabeth R.",1,0,0,0,0,0,0,1
110063,APMTH 140R,Computational Geometry,004,Applied Mathematics,"Chen,Elizabeth R.",3,0,0,0,0,0,0,3
203585,APMTH 158,Feedback Control Systems,001,Applied Mathematics,"Li,Na",0,0,0,0,0,0,0,0
112798,APMTH 201,Physical Mathematics I,001,Applied Mathematics,"Mahadevan,Lakshminarayanan",1,26,0,0,0,0,0,27
156203,APMTH 203,Intro is Disordered Systems,001,Applied Mathematics,"Amir,Ariel",2,9,0,0,0,0,0,11
110684,APMTH 205,Advanced Scientific Computing,001,Applied Mathematics,"Rycroft,Christopher",6,57,0,0,0,0,0,63
121467,APMTH 206,Advanced Applied Algebra,001,Applied Mathematics,"Sudan,Madhu",3,5,0,0,0,0,0,8
118408,APMTH 21A,Math Methods in the Sciences,001,Applied Mathematics,"Iams,Sarah M",152,1,0,0,0,0,0,153
160447,APMTH 254,Info Processing Stats Physics,001,Applied Mathematics,"Lu,Yue",4,3,0,0,0,0,0,7
116840,APMTH 299R,Special Topics in Applied Math,001,Applied Mathematics,"Mahadevan,Lakshminarayanan",1,8,0,0,0,0,0,9
116187,APMTH 318,Special Topics in Physical Mat,001,Applied Mathematics,"Brenner,Michael P.",0,3,0,0,0,0,0,3
118975,APMTH 320,Topics in Macroscopic Physics,001,Applied Mathematics,"Mahadevan,Lakshminarayanan",0,5,0,0,0,0,0,5
159776,APMTH 324,Scientific Computation,001,Applied Mathematics,"Rycroft,Christopher",0,6,0,0,0,0,0,6
116297,APMTH 332,Theor Mech in Earth & Eng Sci,001,Applied Mathematics,"Rice,James R.",0,1,0,0,0,0,0,1
121692,APMTH 91R,Supervised Reading and Researc,001,Applied Mathematics,"Rycroft,Christopher",6,0,0,0,0,0,0,6
115654,APMTH 99R,Thesis Research,001,Applied Mathematics,"Rycroft,Christopher",8,0,0,0,0,0,0,8
131331,APPHY 195,Intro to Solid State Physics,001,Applied Physics,"Demler,Eugene",2,1,0,0,0,0,0,3
121975,APPHY 217,Foundations of Modern Optics,001,Applied Physics,"Hau,Lene V.",3,5,0,0,0,0,0,8
109668,APPHY 227,Landmark Papers in Soft Matter,001,Applied Physics,"Lewis,Jennifer",0,6,0,0,0,0,0,6
142998,APPHY 282,Solids: Structure and Defects,001,Applied Physics,"Spaepen,Frans A.",0,7,0,0,0,0,0,7
131392,APPHY 284,Statistical Mechanics,001,Applied Physics,"Manoharan,Vinothan N",4,63,3,0,0,0,0,70
146948,APPHY 295B,Quantum Theory of Solids,001,Applied Physics,"Sachdev,Subir",1,6,0,0,0,0,0,7
131373,APPHY 299R,Special Topics Applied Physics,001,Applied Physics,"Mazur,Eric",0,9,0,0,0,0,0,9
121977,APPHY 302,Ultrafast Electronic Devices,001,Applied Physics,"Ham,Donhee",0,3,0,0,0,0,0,3
123949,APPHY 304,Materials Science of Biologica,001,Applied Physics,"Aizenberg,Joanna",0,10,0,0,0,0,0,10
125476,APPHY 322,Materials Physics and,001,Applied Physics,"Clarke,David",0,3,0,0,0,0,0,3
125472,APPHY 330,Hetero Nano Devices & Bio-temp,001,Applied Physics,"Hu,Evelyn",0,5,0,0,0,0,0,5
131285,APPHY 332,Exp Condensed Matter Physics,001,Applied Physics,"Westervelt,Robert M.",0,1,0,0,0,0,0,1
146784,APPHY 338,Growth & Properties of Nanostr,001,Applied Physics,"Lieber,Charles M.",0,2,0,0,0,0,0,2
122881,APPHY 342,"Nano-Lasers, Single-Photon Sou",001,Applied Physics,"Loncar,Marko",0,8,0,0,0,0,0,8
109412,APPHY 346,Energy Storage System Analysis,001,Applied Physics,"Keith,David",0,1,0,0,0,0,0,1
156736,APPHY 350,Exp Physics in Low Dimen Mater,001,Applied Physics,"Kim,Philip",0,9,0,0,0,0,0,9
